,factura_id,ciudad,tipo_cliente,genero,linea_producto,precio,cantidad,impuesto_5,total,fecha,hora,pago,rating,Producto_id,tienda_id,fecha_larga
51,162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5.0,11.1475,234.0975,02/10/2019,15:10,Cash,8.5,234.0,4,02/10/2019 15:10
52,616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4.0,3.574,75.054,03/22/2019,14:42,Ewallet,6.5,34.0,5,03/22/2019 14:42
53,778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1.0,0.7715,16.2015,01/25/2019,15:46,Credit card,6.1,3.0,6,01/25/2019 15:46
54,242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2.0,1.616,33.936,03/07/2019,11:49,Ewallet,6.5,3.0,7,03/07/2019 11:49
55,399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8.0,34.392,722.232,02/28/2019,19:01,Cash,8.2,45.0,8,02/28/2019 19:01
56,106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2.0,4.434,93.114,03/27/2019,11:26,Cash,5.8,6.0,1,03/27/2019 11:26
57,635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8.0,35.84,752.64,02/07/2019,11:28,Ewallet,6.6,7.0,4,02/07/2019 11:28
58,817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10.0,36.175,759.675,01/20/2019,15:55,Cash,5.4,4.0,3,01/20/2019 15:55
59,120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6.0,9.183,192.843,03/12/2019,20:36,Cash,9.3,4.0,7,03/12/2019 20:36
60,285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3.0,3.711,77.931,02/15/2019,17:47,Credit card,10.0,34.0,6,02/15/2019 17:47
61,803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6.0,16.719,351.099,02/24/2019,10:55,Ewallet,7.0,6.0,8,02/24/2019 10:55
62,347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9.0,24.7815,520.4115,02/03/2019,13:40,Ewallet,10.0,2.0,1,02/03/2019 13:40
63,199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10.0,7.905,166.005,03/06/2019,12:27,Credit card,8.6,3.0,2,03/06/2019 12:27
64,853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4.0,15.148,318.108,02/14/2019,14:35,Cash,7.6,4.0,4,02/14/2019 14:35
65,877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10.0,7.935,166.635,03/13/2019,16:40,Cash,5.8,5.0,5,03/13/2019 16:40
66,838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2.0,3.347,70.287,02/10/2019,15:43,Ewallet,6.7,6.0,7,02/10/2019 15:43
67,109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6.0,29.283,614.943,01/07/2019,15:01,Ewallet,9.9,6.0,6,01/07/2019 15:01
68,232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10.0,39.385,827.085,01/24/2019,10:04,Cash,6.4,7.0,8,01/24/2019 10:04
69,382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1.0,0.9165,19.2465,02/02/2019,18:50,Cash,4.3,1.0,1,02/02/2019 18:50
70,393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10.0,44.74,939.54,01/06/2019,12:46,Credit card,9.6,1.0,2,01/06/2019 12:46
71,796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10.0,31.06,652.26,02/11/2019,16:19,Cash,5.9,3.0,3,02/11/2019 16:19
72,510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3.0,7.278,152.838,03/05/2019,18:17,Ewallet,4.0,5.0,4,03/05/2019 18:17
73,841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6.0,22.773,478.233,03/09/2019,18:21,Cash,8.7,9.0,5,03/09/2019 18:21
74,287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9.0,33.6015,705.6315,01/22/2019,10:55,Ewallet,9.4,3.0,6,01/22/2019 10:55
75,732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10.0,20.825,437.325,01/13/2019,17:04,Credit card,5.4,2.0,1,01/13/2019 17:04
76,263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9.0,22.068,463.428,01/09/2019,14:20,Credit card,8.6,1.0,4,01/09/2019 14:20
77,381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9.0,9.0045,189.0945,01/12/2019,15:48,Credit card,5.7,1.0,5,01/12/2019 15:48
78,829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10.0,39.155,822.255,03/05/2019,16:24,Ewallet,6.6,5.0,6,03/05/2019 16:24
79,756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5.0,5.095,106.995,01/22/2019,18:56,Cash,6.0,6.0,7,01/22/2019 18:56
80,870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6.0,29.757,624.897,01/21/2019,14:42,Credit card,5.5,7.0,8,01/21/2019 14:42
81,847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3.0,14.502,304.542,01/26/2019,19:56,Ewallet,6.4,8.0,1,01/26/2019 19:56
82,480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8.0,7.7,161.7,01/23/2019,18:37,Ewallet,6.6,234.0,4,01/23/2019 18:37
83,787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4.0,16.072,337.512,02/23/2019,18:45,Credit card,8.3,34.0,3,02/23/2019 18:45
84,360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5.0,12.2275,256.7775,03/09/2019,10:17,Cash,6.6,3.0,7,03/09/2019 10:17
85,730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7.0,29.071,610.491,03/05/2019,14:31,Ewallet,4.0,3.0,6,03/05/2019 14:31
86,362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5.0,19.13,401.73,03/25/2019,10:23,Cash,9.9,45.0,8,03/25/2019 10:23
87,633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7.0,17.283,362.943,03/27/2019,20:35,Credit card,7.3,6.0,1,03/27/2019 20:35
88,504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1.0,2.1235,44.5935,01/02/2019,16:57,Cash,5.7,7.0,2,01/02/2019 16:57
89,318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6.0,23.097,485.037,02/27/2019,17:55,Cash,6.1,4.0,4,02/27/2019 17:55
90,565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4.0,9.476,198.996,01/23/2019,10:25,Cash,7.1,4.0,5,01/23/2019 10:25
91,225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10.0,22.43,471.03,01/26/2019,19:54,Ewallet,8.2,34.0,7,01/26/2019 19:54
92,873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7.0,7.693,161.553,01/10/2019,16:42,Ewallet,5.1,6.0,6,01/10/2019 16:42
93,152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9.0,28.962,608.202,03/12/2019,12:09,Credit card,8.6,2.0,8,03/12/2019 12:09
94,512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1.0,4.4875,94.2375,02/06/2019,20:05,Credit card,6.6,3.0,1,02/06/2019 20:05
95,594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1.0,4.858,102.018,03/08/2019,20:38,Ewallet,7.2,4.0,2,03/08/2019 20:38
96,766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10.0,43.935,922.635,03/29/2019,10:25,Ewallet,5.1,5.0,3,03/29/2019 10:25
97,871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6.0,3.735,78.435,02/09/2019,13:11,Cash,4.1,6.0,4,02/09/2019 13:11
98,865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3.0,7.9125,166.1625,03/23/2019,10:16,Ewallet,9.3,6.0,5,03/23/2019 10:16
99,733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6.0,24.81,521.01,03/05/2019,18:14,Cash,7.4,7.0,6,03/05/2019 18:14
100,163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1.0,2.4355,51.1455,03/26/2019,19:20,Cash,4.1,1.0,1,03/26/2019 19:20
101,189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9.0,35.3475,742.2975,03/01/2019,13:22,Cash,7.2,1.0,4,03/01/2019 13:22
102,551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9.0,10.3815,218.0115,02/01/2019,11:27,Cash,4.9,3.0,5,02/01/2019 11:27
103,212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6.0,17.478,367.038,03/28/2019,16:44,Cash,9.9,5.0,6,03/28/2019 16:44
104,716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7.0,10.6225,223.0725,03/19/2019,18:19,Cash,8.0,9.0,7,03/19/2019 18:19
105,704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10.0,44.335,931.035,01/12/2019,14:50,Ewallet,7.3,3.0,8,01/12/2019 14:50
106,628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6.0,8.214,172.494,01/05/2019,20:54,Credit card,7.9,2.0,1,01/05/2019 20:54
107,630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6.0,18.639,391.419,03/22/2019,20:19,Cash,7.4,1.0,4,03/22/2019 20:19
108,588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9.0,15.291,321.111,03/24/2019,10:43,Cash,4.2,1.0,3,03/24/2019 10:43
109,861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10.0,40.985,860.685,03/03/2019,14:30,Cash,9.2,5.0,7,03/03/2019 14:30
110,479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2.0,1.649,34.629,02/05/2019,11:32,Ewallet,4.6,6.0,6,02/05/2019 11:32
111,210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3.0,14.7315,309.3615,02/05/2019,10:41,Credit card,7.8,7.0,8,02/05/2019 10:41
112,227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7.0,25.494,535.374,02/15/2019,12:44,Cash,8.4,8.0,1,02/15/2019 12:44
113,645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9.0,26.1315,548.7615,01/19/2019,20:07,Ewallet,4.3,234.0,2,01/19/2019 20:07
114,237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9.0,36.3555,763.4655,02/01/2019,20:31,Credit card,9.5,34.0,4,02/01/2019 20:31
115,225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3.0,4.053,85.113,03/02/2019,13:01,Credit card,7.1,3.0,5,03/02/2019 13:01
116,291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5.0,5.485,115.185,03/05/2019,12:29,Ewallet,5.3,3.0,7,03/05/2019 12:29
117,659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1.0,2.568,53.928,01/16/2019,15:26,Ewallet,5.2,45.0,6,01/16/2019 15:26
118,642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10.0,5.48,115.08,02/02/2019,20:48,Ewallet,6.0,6.0,8,02/02/2019 20:48
119,378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2.0,5.344,112.224,01/20/2019,20:38,Ewallet,4.1,7.0,1,01/20/2019 20:38
120,638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8.0,39.824,836.304,02/14/2019,17:03,Credit card,5.2,4.0,2,02/14/2019 17:03
121,659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7.0,19.992,419.832,01/12/2019,12:02,Credit card,6.5,4.0,3,01/12/2019 12:02
122,219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9.0,44.982,944.622,03/09/2019,17:26,Credit card,4.2,34.0,4,03/09/2019 17:26
123,336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8.0,25.564,536.844,03/13/2019,19:52,Credit card,4.6,6.0,5,03/13/2019 19:52
124,268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8.0,22.588,474.348,03/09/2019,14:57,Ewallet,7.3,2.0,6,03/09/2019 14:57
125,668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7.0,32.7915,688.6215,03/10/2019,18:44,Credit card,4.5,3.0,1,03/10/2019 18:44
126,870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5.0,8.0625,169.3125,01/27/2019,13:26,Cash,9.0,4.0,4,01/27/2019 13:26
127,189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9.0,14.2785,299.8485,01/08/2019,16:17,Credit card,5.9,5.0,5,01/08/2019 16:17
128,663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8.0,27.416,575.736,01/08/2019,15:57,Ewallet,8.5,6.0,6,01/08/2019 15:57
129,549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9.0,40.626,853.146,02/08/2019,11:15,Ewallet,7.2,6.0,7,02/08/2019 11:15
130,191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7.0,13.867,291.207,01/25/2019,13:18,Cash,7.5,7.0,8,01/25/2019 13:18
131,802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6.0,27.639,580.419,03/06/2019,20:34,Cash,8.3,1.0,1,03/06/2019 20:34
132,695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4.0,6.968,146.328,02/10/2019,18:36,Cash,7.4,1.0,4,02/10/2019 18:36
133,590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6.0,26.235,550.935,02/17/2019,14:40,Credit card,8.8,3.0,3,02/17/2019 14:40
134,483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6.0,24.39,512.19,03/08/2019,16:43,Ewallet,5.3,5.0,7,03/08/2019 16:43
135,597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3.0,13.533,284.193,02/18/2019,19:39,Cash,6.2,9.0,6,02/18/2019 19:39
136,700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5.0,6.5775,138.1275,01/18/2019,20:59,Credit card,8.8,3.0,8,01/18/2019 20:59
137,354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6.0,10.326,216.846,02/18/2019,15:39,Cash,9.8,2.0,1,02/18/2019 15:39
138,241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10.0,25.955,545.055,02/16/2019,12:21,Cash,8.2,1.0,2,02/16/2019 12:21
139,575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8.0,29.0,609.0,03/16/2019,19:25,Ewallet,9.2,1.0,4,03/16/2019 19:25
140,731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10.0,44.9,942.9,01/23/2019,13:00,Credit card,5.4,5.0,5,01/23/2019 13:00
141,280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10.0,45.25,950.25,01/25/2019,13:48,Cash,8.1,6.0,7,01/25/2019 13:48
142,338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10.0,34.3,720.3,02/05/2019,19:57,Cash,9.1,7.0,6,02/05/2019 19:57
143,488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1.0,1.5205,31.9305,02/22/2019,10:36,Credit card,8.4,8.0,8,02/22/2019 10:36
144,239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6.0,23.385,491.085,01/21/2019,16:37,Ewallet,8.0,234.0,1,01/21/2019 16:37
145,458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6.0,13.878,291.438,03/08/2019,17:11,Credit card,9.5,34.0,2,03/08/2019 17:11
146,685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10.0,15.07,316.47,02/10/2019,12:28,Ewallet,9.2,3.0,3,02/10/2019 12:28
147,568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4.0,13.228,277.788,03/19/2019,12:46,Credit card,5.6,3.0,4,03/19/2019 12:46
148,262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8.0,28.744,603.624,03/06/2019,15:07,Credit card,6.2,45.0,5,03/06/2019 15:07
149,238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8.0,12.984,272.664,03/27/2019,13:48,Credit card,4.9,6.0,6,03/27/2019 13:48
150,608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4.0,18.308,384.468,03/23/2019,19:20,Credit card,4.8,7.0,1,03/23/2019 19:20
151,584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7.0,12.096,254.016,03/11/2019,16:07,Credit card,7.3,4.0,4,03/11/2019 16:07
152,746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9.0,37.458,786.618,01/29/2019,11:56,Credit card,7.4,4.0,5,01/29/2019 11:56
153,214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6.0,4.944,103.824,02/07/2019,18:23,Ewallet,9.9,34.0,6,02/07/2019 18:23
154,400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8.0,32.388,680.148,01/28/2019,13:05,Cash,9.3,6.0,7,01/28/2019 13:05
155,782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5.0,23.0725,484.5225,02/20/2019,15:55,Credit card,9.0,2.0,8,02/20/2019 15:55
156,279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1.0,3.6085,75.7785,01/04/2019,19:40,Cash,6.1,3.0,1,01/04/2019 19:40
157,307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5.0,12.57,263.97,03/07/2019,13:58,Ewallet,9.7,4.0,4,03/07/2019 13:58
158,743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9.0,43.749,918.729,03/30/2019,14:43,Ewallet,6.0,5.0,3,03/30/2019 14:43
159,423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6.0,28.017,588.357,03/27/2019,19:18,Ewallet,10.0,6.0,7,03/27/2019 19:18
160,894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8.0,17.272,362.712,01/19/2019,19:39,Credit card,8.3,6.0,6,01/19/2019 19:39
161,275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1.0,3.1845,66.8745,02/25/2019,16:21,Cash,6.0,7.0,8,02/25/2019 16:21
162,101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7.0,16.0265,336.5565,03/13/2019,19:44,Credit card,7.0,1.0,1,03/13/2019 19:44
163,423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.4,2.0,7.64,160.44,01/30/2019,19:42,Ewallet,6.5,1.0,2,01/30/2019 19:42
164,548-46-9322,Mandalay,Normal,Male,Food and beverages,39.9,10.0,19.95,418.95,02/20/2019,15:24,Credit card,5.9,3.0,4,02/20/2019 15:24
165,505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8.0,17.028,357.588,02/25/2019,14:12,Ewallet,5.6,5.0,5,02/25/2019 14:12
166,234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10.0,47.79,1003.59,01/16/2019,13:32,Cash,4.8,9.0,7,01/16/2019 13:32
167,687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10.0,49.49,1039.29,02/08/2019,16:20,Credit card,8.7,3.0,6,02/08/2019 16:20
168,796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6.0,15.384,323.064,01/19/2019,16:31,Cash,6.5,2.0,8,01/19/2019 16:31
