factura_id;ciudad;tipo_cliente;genero;linea_producto;precio;cantidad;impuesto_5;total;fecha;hora;pago;rating;Producto_id;tienda_id
106-35-6779;Yangon;Member;Male;Home and lifestyle;44.34;2;4.434;93.114;03/27/2019;11:26;Cash;5.8;6;1
635-40-6220;Yangon;Normal;Male;Health and beauty;89.6;8;35.84;752.64;02/07/2019;11:28;Ewallet;6.6;7;4
817-48-8732;Yangon;Member;Female;Home and lifestyle;72.35;10;36.175;759.675;01/20/2019;15:55;Cash;5.4;4;3
120-06-4233;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;03/12/2019;20:36;Cash;9.3;4;7
285-68-5083;Naypyitaw;Member;Female;Sports and travel;24.74;3;3.711;77.931;02/15/2019;17:47;Credit card;10;34;6
803-83-5989;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16.719;351.099;02/24/2019;10:55;Ewallet;7;6;8
347-34-2234;Mandalay;Member;Female;Sports and travel;55.07;9;24.7815;520.4115;02/03/2019;13:40;Ewallet;10;2;1
199-75-8169;Yangon;Member;Male;Sports and travel;15.81;10;7.905;166.005;03/06/2019;12:27;Credit card;8.6;3;2
853-23-2453;Mandalay;Member;Male;Health and beauty;75.74;4;15.148;318.108;02/14/2019;14:35;Cash;7.6;4;4
877-22-3308;Yangon;Member;Male;Health and beauty;15.87;10;7.935;166.635;03/13/2019;16:40;Cash;5.8;5;5
838-78-4295;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3.347;70.287;02/10/2019;15:43;Ewallet;6.7;6;7
109-28-2512;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;01/07/2019;15:01;Ewallet;9.9;6;6
232-11-3025;Yangon;Normal;Male;Sports and travel;78.77;10;39.385;827.085;01/24/2019;10:04;Cash;6.4;7;8
382-03-4532;Yangon;Member;Female;Health and beauty;18.33;1;0.9165;19.2465;02/02/2019;18:50;Cash;4.3;1;1
393-65-2792;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;01/06/2019;12:46;Credit card;9.6;1;2
796-12-2025;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;02/11/2019;16:19;Cash;5.9;3;3
510-95-6347;Mandalay;Member;Female;Food and beverages;48.52;3;7.278;152.838;03/05/2019;18:17;Ewallet;4;5;4
841-35-6630;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.773;478.233;03/09/2019;18:21;Cash;8.7;9;5
287-21-9091;Yangon;Normal;Male;Home and lifestyle;74.67;9;33.6015;705.6315;01/22/2019;10:55;Ewallet;9.4;3;6
732-94-0499;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.825;437.325;01/13/2019;17:04;Credit card;5.4;2;1
263-10-3913;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22.068;463.428;01/09/2019;14:20;Credit card;8.6;1;4
381-20-0914;Yangon;Member;Female;Fashion accessories;20.01;9;9.0045;189.0945;01/12/2019;15:48;Credit card;5.7;1;5
829-49-1914;Naypyitaw;Member;Female;Food and beverages;78.31;10;39.155;822.255;03/05/2019;16:24;Ewallet;6.6;5;6
756-01-7507;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5.095;106.995;01/22/2019;18:56;Cash;6;6;7
870-72-4431;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29.757;624.897;01/21/2019;14:42;Credit card;5.5;7;8
847-38-7188;Mandalay;Normal;Female;Food and beverages;96.68;3;14.502;304.542;01/26/2019;19:56;Ewallet;6.4;8;1
480-63-2856;Naypyitaw;Normal;Male;Food and beverages;19.25;8;7.7;161.7;01/23/2019;18:37;Ewallet;6.6;234;4
787-56-0757;Naypyitaw;Member;Female;Food and beverages;80.36;4;16.072;337.512;02/23/2019;18:45;Credit card;8.3;34;3
360-39-5055;Naypyitaw;Member;Male;Sports and travel;48.91;5;12.2275;256.7775;03/09/2019;10:17;Cash;6.6;3;7
730-50-9884;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29.071;610.491;03/05/2019;14:31;Ewallet;4;3;6
362-58-8315;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;03/25/2019;10:23;Cash;9.9;45;8
633-44-8566;Yangon;Member;Male;Food and beverages;49.38;7;17.283;362.943;03/27/2019;20:35;Credit card;7.3;6;1
504-35-8843;Yangon;Normal;Male;Sports and travel;42.47;1;2.1235;44.5935;01/02/2019;16:57;Cash;5.7;7;2
318-68-5053;Mandalay;Normal;Female;Health and beauty;76.99;6;23.097;485.037;02/27/2019;17:55;Cash;6.1;4;4
565-80-5980;Naypyitaw;Member;Female;Home and lifestyle;47.38;4;9.476;198.996;01/23/2019;10:25;Cash;7.1;4;5
225-32-0908;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03;01/26/2019;19:54;Ewallet;8.2;34;7
873-51-0671;Yangon;Member;Female;Sports and travel;21.98;7;7.693;161.553;01/10/2019;16:42;Ewallet;5.1;6;6
152-08-9985;Mandalay;Member;Male;Health and beauty;64.36;9;28.962;608.202;03/12/2019;12:09;Credit card;8.6;2;8
512-91-0811;Naypyitaw;Normal;Male;Health and beauty;89.75;1;4.4875;94.2375;02/06/2019;20:05;Credit card;6.6;3;1
594-34-4444;Yangon;Normal;Male;Electronic accessories;97.16;1;4.858;102.018;03/08/2019;20:38;Ewallet;7.2;4;2
766-85-7061;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;03/29/2019;10:25;Ewallet;5.1;5;3
871-39-9221;Naypyitaw;Normal;Female;Electronic accessories;12.45;6;3.735;78.435;02/09/2019;13:11;Cash;4.1;6;4
865-92-6136;Yangon;Normal;Male;Food and beverages;52.75;3;7.9125;166.1625;03/23/2019;10:16;Ewallet;9.3;6;5
733-01-9107;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;03/05/2019;18:14;Cash;7.4;7;6
163-56-7055;Naypyitaw;Member;Male;Fashion accessories;48.71;1;2.4355;51.1455;03/26/2019;19:20;Cash;4.1;1;1
189-98-2939;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;35.3475;742.2975;03/01/2019;13:22;Cash;7.2;1;4
551-21-3069;Naypyitaw;Normal;Female;Electronic accessories;23.07;9;10.3815;218.0115;02/01/2019;11:27;Cash;4.9;3;5
212-62-1842;Yangon;Normal;Male;Food and beverages;58.26;6;17.478;367.038;03/28/2019;16:44;Cash;9.9;5;6
716-39-1409;Mandalay;Normal;Male;Health and beauty;30.35;7;10.6225;223.0725;03/19/2019;18:19;Cash;8;9;7
704-48-3927;Yangon;Member;Male;Electronic accessories;88.67;10;44.335;931.035;01/12/2019;14:50;Ewallet;7.3;3;8
628-34-3388;Naypyitaw;Normal;Male;Fashion accessories;27.38;6;8.214;172.494;01/05/2019;20:54;Credit card;7.9;2;1
630-74-5166;Yangon;Normal;Male;Sports and travel;62.13;6;18.639;391.419;03/22/2019;20:19;Cash;7.4;1;4
588-01-7461;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15.291;321.111;03/24/2019;10:43;Cash;4.2;1;3
861-77-0145;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40.985;860.685;03/03/2019;14:30;Cash;9.2;5;7
479-26-8945;Mandalay;Member;Female;Sports and travel;16.49;2;1.649;34.629;02/05/2019;11:32;Ewallet;4.6;6;6
210-67-5886;Naypyitaw;Member;Female;Health and beauty;98.21;3;14.7315;309.3615;02/05/2019;10:41;Credit card;7.8;7;8
227-78-1148;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.494;535.374;02/15/2019;12:44;Cash;8.4;8;1
645-44-1170;Yangon;Member;Male;Home and lifestyle;58.07;9;26.1315;548.7615;01/19/2019;20:07;Ewallet;4.3;234;2
237-01-6122;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;36.3555;763.4655;02/01/2019;20:31;Credit card;9.5;34;4
225-98-1496;Naypyitaw;Normal;Female;Fashion accessories;27.02;3;4.053;85.113;03/02/2019;13:01;Credit card;7.1;3;5
291-32-1427;Mandalay;Member;Male;Fashion accessories;21.94;5;5.485;115.185;03/05/2019;12:29;Ewallet;5.3;3;7
659-65-8956;Mandalay;Member;Male;Fashion accessories;51.36;1;2.568;53.928;01/16/2019;15:26;Ewallet;5.2;45;6
642-32-2990;Yangon;Normal;Female;Food and beverages;10.96;10;5.48;115.08;02/02/2019;20:48;Ewallet;6;6;8
378-24-2715;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5.344;112.224;01/20/2019;20:38;Ewallet;4.1;7;1
638-60-7125;Yangon;Normal;Female;Electronic accessories;99.56;8;39.824;836.304;02/14/2019;17:03;Credit card;5.2;4;2
659-36-1684;Naypyitaw;Member;Male;Sports and travel;57.12;7;19.992;419.832;01/12/2019;12:02;Credit card;6.5;4;3
219-22-9386;Mandalay;Member;Male;Sports and travel;99.96;9;44.982;944.622;03/09/2019;17:26;Credit card;4.2;34;4
336-78-2147;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25.564;536.844;03/13/2019;19:52;Credit card;4.6;6;5
268-27-6179;Mandalay;Member;Female;Fashion accessories;56.47;8;22.588;474.348;03/09/2019;14:57;Ewallet;7.3;2;6
668-90-8900;Yangon;Normal;Female;Home and lifestyle;93.69;7;32.7915;688.6215;03/10/2019;18:44;Credit card;4.5;3;1
870-54-3162;Yangon;Normal;Female;Sports and travel;32.25;5;8.0625;169.3125;01/27/2019;13:26;Cash;9;4;4
189-08-9157;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;14.2785;299.8485;01/08/2019;16:17;Credit card;5.9;5;5
663-86-9076;Naypyitaw;Member;Female;Food and beverages;68.54;8;27.416;575.736;01/08/2019;15:57;Ewallet;8.5;6;6
549-84-7482;Mandalay;Normal;Female;Sports and travel;90.28;9;40.626;853.146;02/08/2019;11:15;Ewallet;7.2;6;7
191-10-6171;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.867;291.207;01/25/2019;13:18;Cash;7.5;7;8
802-70-5316;Yangon;Member;Female;Sports and travel;92.13;6;27.639;580.419;03/06/2019;20:34;Cash;8.3;1;1
695-51-0018;Mandalay;Normal;Female;Sports and travel;34.84;4;6.968;146.328;02/10/2019;18:36;Cash;7.4;1;4
590-83-4591;Mandalay;Member;Male;Electronic accessories;87.45;6;26.235;550.935;02/17/2019;14:40;Credit card;8.8;3;3
483-71-1164;Naypyitaw;Normal;Female;Health and beauty;81.3;6;24.39;512.19;03/08/2019;16:43;Ewallet;5.3;5;7
597-78-7908;Naypyitaw;Normal;Male;Fashion accessories;90.22;3;13.533;284.193;02/18/2019;19:39;Cash;6.2;9;6
700-81-1757;Yangon;Normal;Female;Electronic accessories;26.31;5;6.5775;138.1275;01/18/2019;20:59;Credit card;8.8;3;8
354-39-5160;Yangon;Member;Female;Home and lifestyle;34.42;6;10.326;216.846;02/18/2019;15:39;Cash;9.8;2;1
241-72-9525;Mandalay;Normal;Male;Sports and travel;51.91;10;25.955;545.055;02/16/2019;12:21;Cash;8.2;1;2
575-30-8091;Yangon;Normal;Male;Sports and travel;72.5;8;29;609;03/16/2019;19:25;Ewallet;9.2;1;4
731-81-9469;Naypyitaw;Member;Female;Sports and travel;89.8;10;44.9;942.9;01/23/2019;13:00;Credit card;5.4;5;5
280-17-4359;Naypyitaw;Member;Male;Health and beauty;90.5;10;45.25;950.25;01/25/2019;13:48;Cash;8.1;6;7
338-65-2210;Naypyitaw;Member;Female;Health and beauty;68.6;10;34.3;720.3;02/05/2019;19:57;Cash;9.1;7;6
488-25-4221;Naypyitaw;Member;Female;Food and beverages;30.41;1;1.5205;31.9305;02/22/2019;10:36;Credit card;8.4;8;8
239-10-7476;Yangon;Normal;Female;Home and lifestyle;77.95;6;23.385;491.085;01/21/2019;16:37;Ewallet;8;234;1
458-41-1477;Naypyitaw;Normal;Female;Health and beauty;46.26;6;13.878;291.438;03/08/2019;17:11;Credit card;9.5;34;2
685-64-1609;Yangon;Member;Female;Fashion accessories;30.14;10;15.07;316.47;02/10/2019;12:28;Ewallet;9.2;3;3
568-90-5112;Naypyitaw;Normal;Male;Health and beauty;66.14;4;13.228;277.788;03/19/2019;12:46;Credit card;5.6;3;4
262-47-2794;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.744;603.624;03/06/2019;15:07;Credit card;6.2;45;5
238-49-0436;Yangon;Normal;Male;Health and beauty;32.46;8;12.984;272.664;03/27/2019;13:48;Credit card;4.9;6;6
608-96-3517;Mandalay;Member;Female;Fashion accessories;91.54;4;18.308;384.468;03/23/2019;19:20;Credit card;4.8;7;1
584-86-7256;Naypyitaw;Member;Male;Sports and travel;34.56;7;12.096;254.016;03/11/2019;16:07;Credit card;7.3;4;4
746-94-0204;Yangon;Normal;Male;Fashion accessories;83.24;9;37.458;786.618;01/29/2019;11:56;Credit card;7.4;4;5
214-17-6927;Naypyitaw;Normal;Female;Food and beverages;16.48;6;4.944;103.824;02/07/2019;18:23;Ewallet;9.9;34;6
400-89-4171;Naypyitaw;Normal;Female;Sports and travel;80.97;8;32.388;680.148;01/28/2019;13:05;Cash;9.3;6;7
782-95-9291;Yangon;Member;Male;Food and beverages;92.29;5;23.0725;484.5225;02/20/2019;15:55;Credit card;9;2;8
279-74-2924;Mandalay;Member;Male;Electronic accessories;72.17;1;3.6085;75.7785;01/04/2019;19:40;Cash;6.1;3;1
307-85-2293;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;03/07/2019;13:58;Ewallet;9.7;4;4
743-04-1105;Mandalay;Member;Male;Health and beauty;97.22;9;43.749;918.729;03/30/2019;14:43;Ewallet;6;5;3
423-57-2993;Mandalay;Normal;Male;Sports and travel;93.39;6;28.017;588.357;03/27/2019;19:18;Ewallet;10;6;7
894-41-5205;Naypyitaw;Normal;Female;Food and beverages;43.18;8;17.272;362.712;01/19/2019;19:39;Credit card;8.3;6;6
275-28-0149;Yangon;Normal;Male;Sports and travel;63.69;1;3.1845;66.8745;02/25/2019;16:21;Cash;6;7;8
101-17-6199;Yangon;Normal;Male;Food and beverages;45.79;7;16.0265;336.5565;03/13/2019;19:44;Credit card;7;1;1
423-80-0988;Naypyitaw;Normal;Male;Sports and travel;76.4;2;7.64;160.44;01/30/2019;19:42;Ewallet;6.5;1;2
548-46-9322;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;02/20/2019;15:24;Credit card;5.9;3;4
505-02-0892;Mandalay;Member;Male;Health and beauty;42.57;8;17.028;357.588;02/25/2019;14:12;Ewallet;5.6;5;5
234-65-2137;Naypyitaw;Normal;Male;Home and lifestyle;95.58;10;47.79;1003.59;01/16/2019;13:32;Cash;4.8;9;7
687-47-8271;Yangon;Normal;Male;Fashion accessories;98.98;10;49.49;1039.29;02/08/2019;16:20;Credit card;8.7;3;6
796-32-9050;Yangon;Normal;Male;Food and beverages;51.28;6;15.384;323.064;01/19/2019;16:31;Cash;6.5;2;8
105-31-1824;Yangon;Member;Male;Sports and travel;69.52;7;24.332;510.972;02/01/2019;15:10;Credit card;8.5;1;1
249-42-3782;Yangon;Normal;Male;Health and beauty;70.01;5;17.5025;367.5525;01/03/2019;11:36;Ewallet;5.5;1;2
316-55-4634;Mandalay;Member;Male;Food and beverages;80.05;5;20.0125;420.2625;01/26/2019;12:45;Credit card;9.4;5;3
733-33-4967;Naypyitaw;Normal;Male;Electronic accessories;20.85;8;8.34;175.14;03/03/2019;19:17;Cash;6.3;6;4
608-27-6295;Mandalay;Member;Male;Electronic accessories;52.89;6;15.867;333.207;01/19/2019;17:34;Credit card;9.8;7;5
414-12-7047;Mandalay;Normal;Male;Food and beverages;19.79;8;7.916;166.236;01/18/2019;12:04;Ewallet;8.7;8;6
827-26-2100;Yangon;Member;Male;Home and lifestyle;33.84;9;15.228;319.788;03/21/2019;16:21;Ewallet;8.8;234;1
175-54-2529;Yangon;Member;Male;Food and beverages;22.17;8;8.868;186.228;03/03/2019;17:01;Credit card;9.6;34;4
139-52-2867;Naypyitaw;Normal;Female;Fashion accessories;22.51;7;7.8785;165.4485;02/13/2019;10:50;Credit card;4.8;3;5
407-63-8975;Yangon;Normal;Male;Food and beverages;73.88;6;22.164;465.444;03/23/2019;19:16;Ewallet;4.4;3;6
342-65-4817;Naypyitaw;Member;Male;Health and beauty;86.8;3;13.02;273.42;01/28/2019;16:47;Ewallet;9.9;45;7
130-98-8941;Naypyitaw;Normal;Male;Fashion accessories;64.26;7;22.491;472.311;02/09/2019;10:00;Cash;5.7;6;8
434-83-9547;Naypyitaw;Member;Male;Food and beverages;38.47;8;15.388;323.148;01/23/2019;11:51;Cash;7.7;7;1
851-28-6367;Yangon;Member;Male;Sports and travel;15.5;;7.75;162.75;03/23/2019;10:55;Ewallet;8;4;4
824-88-3614;Naypyitaw;Normal;Male;Health and beauty;34.31;8;13.724;288.204;01/25/2019;15:00;Ewallet;5.7;4;3
586-25-0848;Yangon;Normal;Female;Sports and travel;12.34;7;4.319;90.699;03/04/2019;11:19;Credit card;6.7;34;7
895-66-0685;Mandalay;Member;Male;Food and beverages;18.08;3;2.712;56.952;03/05/2019;19:46;Ewallet;8;6;6
305-14-0245;Mandalay;Member;Female;Home and lifestyle;94.49;8;37.796;793.716;03/03/2019;19:00;Ewallet;7.5;2;8
732-04-5373;Mandalay;Member;Male;Home and lifestyle;46.47;4;9.294;195.174;02/08/2019;10:53;Cash;7;3;1
400-60-7251;Yangon;Normal;Male;Home and lifestyle;74.07;1;3.7035;77.7735;02/10/2019;12:50;Ewallet;9.9;4;2
593-65-1552;Naypyitaw;Normal;Female;Home and lifestyle;69.81;4;13.962;293.202;01/28/2019;20:50;Credit card;5.9;5;4
284-34-9626;Mandalay;Normal;Female;Home and lifestyle;77.04;3;11.556;242.676;02/11/2019;10:39;Credit card;7.2;6;5
437-58-8131;Mandalay;Normal;Female;Fashion accessories;73.52;2;7.352;154.392;01/15/2019;13:41;Ewallet;4.6;6;7
286-43-6208;Naypyitaw;Normal;Female;Food and beverages;87.8;9;39.51;829.71;03/16/2019;19:08;Cash;9.2;7;6
641-43-2399;Mandalay;Normal;Male;Home and lifestyle;25.55;4;5.11;107.31;01/26/2019;20:23;Ewallet;5.7;1;8
831-07-6050;Yangon;Normal;Male;Electronic accessories;32.71;5;8.1775;171.7275;03/19/2019;11:30;Credit card;9.9;1;1
556-86-3144;Naypyitaw;Member;Female;Fashion accessories;74.29;1;3.7145;78.0045;01/13/2019;19:30;Cash;5;3;2
848-24-9445;Naypyitaw;Member;Male;Health and beauty;43.7;2;4.37;91.77;03/26/2019;18:03;Cash;4.9;5;3
856-22-8149;Yangon;Normal;Female;Home and lifestyle;25.29;1;1.2645;26.5545;03/23/2019;10:13;Ewallet;6.1;9;4
699-01-4164;Naypyitaw;Normal;Male;Health and beauty;41.5;4;8.3;174.3;03/12/2019;19:58;Credit card;8.2;3;5
420-11-4919;Naypyitaw;Member;Female;Food and beverages;71.39;5;17.8475;374.7975;02/17/2019;19:57;Credit card;5.5;2;6
606-80-4905;Naypyitaw;Member;Female;Sports and travel;19.15;6;5.745;120.645;01/29/2019;10:01;Credit card;6.8;1;1
542-41-0513;Mandalay;Member;Female;Electronic accessories;57.49;4;11.498;241.458;03/15/2019;11:57;Cash;6.6;1;4
426-39-2418;Naypyitaw;Normal;Male;Electronic accessories;61.41;7;21.4935;451.3635;01/14/2019;10:02;Cash;9.8;5;5
875-46-5808;Mandalay;Member;Male;Health and beauty;25.9;10;12.95;271.95;02/06/2019;14:51;Ewallet;8.7;6;6
394-43-4238;Mandalay;Member;Male;Home and lifestyle;17.77;5;4.4425;93.2925;02/15/2019;12:42;Credit card;5.4;7;7
749-24-1565;Yangon;Normal;Female;Health and beauty;23.03;9;10.3635;217.6335;01/03/2019;12:02;Ewallet;7.9;8;8
672-51-8681;Naypyitaw;Member;Female;Electronic accessories;66.65;9;29.9925;629.8425;01/04/2019;18:19;Credit card;9.7;234;1
263-87-5680;Naypyitaw;Member;Female;Home and lifestyle;28.53;10;14.265;299.565;03/18/2019;17:38;Ewallet;7.8;34;4
573-58-9734;Mandalay;Normal;Female;Fashion accessories;30.37;3;4.5555;95.6655;03/28/2019;13:41;Ewallet;5.1;3;3
817-69-8206;Mandalay;Normal;Female;Electronic accessories;99.73;9;44.8785;942.4485;03/02/2019;19:42;Credit card;6.5;3;7
